"ServerName","(C:)","(D:)","(E:)"
"DC-WMO-MNT10","155.18 GB","(not found)","(not found)"
"DC-WMO-MNT11","164.9 GB","(not found)","(not found)"
"DC-WMO-MNT12","150.11 GB","(not found)","(not found)"
"DC-WMO-MODBC01","330.44 GB","(not found)","(not found)"
"DC-WMO-MODBC02","367.66 GB","(not found)","(not found)"
"DC-WMO-MODJN01","320.37 GB","(not found)","(not found)"
"DC-WMO-MODJN02","327.18 GB","(not found)","(not found)"
"DC-WMO-MODKN01","361.5 GB","(not found)","(not found)"
"DC-WMO-MODKN02","360.67 GB","(not found)","(not found)"
"DC-WMO-MODLN01","340.64 GB","(not found)","(not found)"
"DC-WMO-MODLN02","366.95 GB","(not found)","(not found)"
"DC-WMO-MODLN03","413.31 GB","(not found)","(not found)"
"DC-WMO-MODLS01","339.23 GB","(not found)","(not found)"
"DC-WMO-MODLS02","360.09 GB","(not found)","(not found)"
"DC-WMO-MODMN01","388.78 GB","(not found)","(not found)"
"DC-WMO-MODMN02","362.01 GB","(not found)","(not found)"
"DC-WMO-MODMN03","378.66 GB","(not found)","(not found)"
"DC-WMO-MODMN04","365.48 GB","(not found)","(not found)"
"DC-WMO-MODMN05","373.35 GB","(not found)","(not found)"
"DC-WMO-MODMS01","314.31 GB","(not found)","(not found)"
"DC-WMO-MODMS02","352.5 GB","(not found)","(not found)"
"DC-WMO-MODPN01","369.43 GB","(not found)","(not found)"
"DC-WMO-MODPN02","388.21 GB","(not found)","(not found)"
"DC-WMO-MODPS01","324.1 GB","(not found)","(not found)"
"DC-WMO-MODRN02","417.83 GB","(not found)","(not found)"
"DC-WMO-MODRS2","187.85 GB","(not found)","(not found)"
"DC-WMO-MPB01","150.24 GB","(not found)","(not found)"
"DC-WMO-MPB02","145.8 GB","(not found)","(not found)"
"DC-WMO-PALHSP1","342.78 GB","(not found)","(not found)"
"DC-WMO-PALHSP2","370.96 GB","(not found)","(not found)"
"DC-WMO-PALHSP3","379.18 GB","(not found)","(not found)"
"DC-WMO-RECCLK01","147.31 GB","(not found)","(not found)"
"DC-WMO-RECCLK02","166.52 GB","(not found)","(not found)"
"DC-WMO-RECCLK03","144.11 GB","(not found)","(not found)"
"DC-WMO-RECD147","153.49 GB","(not found)","(not found)"
"DC-WMO-RECDK01","288.78 GB","(not found)","(not found)"
"DC-WMO-RECDK02","318.82 GB","(not found)","(not found)"
"DC-WMO-RECDK03","142.63 GB","(not found)","(not found)"
"DC-WMO-RECWIN","329.76 GB","(not found)","(not found)"
"DC-WMO-REPLEN1","173.66 GB","(not found)","(not found)"
"DC-WMO-RETURNGD","170.3 GB","(not found)","(not found)"
"DC-WMO-RTS","110.62 GB","(not found)","(not found)"
"DC-WMO-SHIP01","289.21 GB","(not found)","(not found)"
"DC-WMO-SHIP02","313.02 GB","(not found)","(not found)"
"DC-WMO-SHIPSORT","81.83 GB","(not found)","(not found)"
"DC-WMO-SHIPSRT","417.94 GB","(not found)","(not found)"
"DC-WMO-SRM01","142.51 GB","(not found)","(not found)"
"DC-WMO-TEMP01","157.26 GB","(not found)","(not found)"
